sentiment,text,user,
negative,dude i am so tired no! more! class! pls!,TYF0RTH3VEN0M,
negative,"@FTCUTD Just accepting that \SL is evil\"" without being given concrete reasons feels an awful lot like becoming an u… https://t.co/KgZ5vFjwbK""",paynomind,
negative,RT @dabiideviito: aren't you tired of [morally justifying fictional porn you write on the internet]? don't you just wanna go apeshit?,magnetskies,
negative,"I have been trying to go to sleep for the past 4 hours and I still can’t even though I am tired tired, like my eyes… https://t.co/fg11TYEBFI",InejActivist_x,
negative,"@EvergrowingKaga @Allosauro1 Tired of hiding within the depths of 3-4, Kaga attacks.",RandomInterWeeb,
negative,RT @QueenLeets: Can’t believe my parents ain’t get tired of playing this sick joke on me and tell me ize a trust fund baby yet,NoVieHam,
negative,RT @bpoxnamayagmur: I’m tired of waiting for this relationship... 🤤 #Elite4 https://t.co/UGt89A1TxI,dudamattelove,
positive,"RT @pedrod_vieira: Estou farto do meu mood bipolar, tanto estou no topo como de repente estou no fundo, lol tired",Gonzors_19,
negative,RT @enhanoo: HE GOT TIRED OF LAUGHING SO MUCH PLS https://t.co/BAim18ex7q,dennxtaki,
neutral,Я СЕЙЧАС СДОХНУ С ЭТОГО ВИДИКА https://t.co/nHg3UeSYyK,tired_ficus,
negative,"RT @magicanarchist: too tired &amp; fatigued to be mad, just terrified at the way this accursed govt is betraying the country - vaccines MUST b…",inker_salik,
negative,"@sunflwrvol_28 I am tired, I have tutor, I want nap",lil_boonation,
neutral,@btomyeilish Não e com vc lindo?,ramos_tired,
positive,all I want are jeans that actually fit me. I’m tired of people thinking that I want my jeans to fit like capris whe… https://t.co/h2JzKRG0h5,angelamcarmona,
negative,RT @Rivaled_: Ladies just because you are tired doesn’t mean WE have to go to sleep at the same time https://t.co/Q3UV4eKtNh,Glogangxan,
negative,fuck this i’m shutting down I’m tired because of my curiosity,NahnotBdon,
negative,I’m tired. Tired. Tired.,xsczey,
positive,It was wonderful having all our young people back in the classrooms today! So lovely to finally meet my classes for… https://t.co/4eYmb1MZjX,Holyrood_Eng,
negative,RT @Alaba589: really tired of these mfs 😫 https://t.co/NUvAcSG4RA,Mama___DeE,
negative,RT @ourobororoboruo: Tired: waxed for date night \n\nWired: vaxxed for date night,bottlegrok,
negative,"RT @davidmweissman: There's another mass shooting in Long Island, New York, at a Stop and Shop grocery store. I'm tired of thoughts and pra…",iamravive,
negative,RT @briallysia: anpanman IS a twerk song and i’m tired of everyone pretending it’s not,jaykay_bestboy,
negative,"RT @arjmxrell: Hug me, I’m mentally tired",EmmaVantilt,
negative,Now I’m tired. 😓,worst_B_ehavior,
neutral,"@4irt_lover может витаминов не хватает для бодрости?? тт чиртсан кстати!! а ты спишь с игрушкой или нет??,,,",rimma_tired,
negative,@MollyJongFast @RepSwalwell @RepValDemings That was stressful to watch.  I’m so sick and tired of MAGA Morons and their lunatic theater.,BGHeaven,
negative,RT @maybeeevirgo: 85% tired 15% also tired,katiacazarezz,
negative,I've been in this class since 8 this morning. I'm tired. https://t.co/vPjkBBqaxx,koyakoo26,
positive,RT @ManishS_SG: 🙄😥...I got tired watching .. 😓how many times did she do it? https://t.co/FNWj87W9FP,Rajesh_1322,
negative,"I'm too tired to be here at work , can I go back home please -",mechanicgoggles,
negative,@Visnamood @Angry_Staffer You hope her husband takes her credit cards...? I can agree that the woman is idiot but t… https://t.co/vPNoErGU7M,realkeylime3,
positive,RT @Evettexo: Y’all ever get tired of being nice?,ItsBrockelle,
negative,Why we gotta fight the abyss dude so much I'm tired,salmonrxe,
negative,I’m still tired you guys.... clearly im sick,unreachable__x,
positive,RT @gracefulwraith: Sometimes I get tired of being strong.,mizstellar,
positive,"RT @T_oluwani: Laycon ft Ykb Fall for me video is too beautiful,it made me love the song more 😍\nCan't get tired of watching it .",daprinze10,
negative,"RT @davidmweissman: There's another mass shooting in Long Island, New York, at a Stop and Shop grocery store. I'm tired of thoughts and pra…",KathleenFaux,
negative,i keep my spotify connected to my earphones so i don’t get tired of listening! if you haven’t been streaming before… https://t.co/SnTQPHJzvR,yejiseung,
negative,i am tired of having friendships that are always one-sided.,unstablebil,
negative,"RT @arjmxrell: Hug me, I’m mentally tired",DeNeysCharlotte,
negative,"@Bristolbigbird I need to do something, but been so tired lately 😴",Wilma83196645,
negative,"RT @spanishbarbzz: I’m tired of chasing the bag, can the bag chase ME?? https://t.co/cq2b3UMzRR",shailynvictoria,
negative,RT @jilly284: @MartinSLewis @JohnGlenUK Thank you! We are all tired of @JohnGlenUK using everything he can to stop any form of solution for…,CatherineDopso3,
negative,I’m so tired of discussing this dumb ass vaccine .,MackeyMack14,
negative,Are dem dem tired of trending useless hashtags or I should mind my business by going to link my NIN to SIM?,MrLekanAdigun,
negative,"RT @taylorsschumann: If you are tired of mass shootings and daily gun violence, I would like for you to read my book. If you have friends o…",AymieJoi,
negative,"RT @davidmweissman: There's another mass shooting in Long Island, New York, at a Stop and Shop grocery store. I'm tired of thoughts and pra…",Ctess49,
negative,RT @roxrattinam: Both @rajinikanth &amp; @ikamalhaasan have competed with each other for 40 yrs. Both are nearing the end of their career and i…,Aiswaryac4,
negative,RT @briallysia: anpanman IS a twerk song and i’m tired of everyone pretending it’s not,JlMlNSLlPGLOSS,
negative,RT @Eiitonystark: I can see you're looking for distractions\nI can see you're tired of the acting \nWhy can't you show me?\n\nO tempo foi passa…,T3LEPHATY,
negative,the fact that ian and mickeys first interaction in s11 is mickey saying 5 times last night do the writers get tired… https://t.co/8bhUbFy5OY,gallerlain,
negative,RT @briallysia: anpanman IS a twerk song and i’m tired of everyone pretending it’s not,YOONGlSBITCH,
negative,RT @meow_this: I’m not saying I’m tired. I’m saying it’s possible I attempted to pour dog food in the cats’ bowls before I noticed what I w…,PaulaWi33568627,
