sentiment,text,user,,,
positive,"RT @sevendless: Youngjae's clear and stable vocals are already a given but his acting when Haram felt excited, embarrassed, sad, in love, a…",Ahgasophie,,,
negative,@_777grace Damn tats sad,Hunter_oof,,,
negative,"Bestie I had a mental breakdown today, I'm gonna have another one if these romantic sad songs comes on my tik tok f… https://t.co/By8wXM9pHv",1stSamn,,,
negative,RT @90sSophie: Really sad that Humoren is dead. What a wicked world.😓 https://t.co/f9W3v9VAwC,KamzGroup,,,
positive,"RT @sevendless: Youngjae's clear and stable vocals are already a given but his acting when Haram felt excited, embarrassed, sad, in love, a…",917cyj,,,
neutral,Я умею делать хорошие подарки на праздники. Сегодня вот ухожу хрен знает куда на хрен знает сколько. Семья рада. Ск… https://t.co/YrBsgOczHf,sad_and_numb,,,
negative,@PhejayP Hays mao sad lagi dad,Tinnytinexxx,,,
negative,so my computer was not recording anim actually so sad,bigdaddyminho,,,
negative,@UmohUduak1 @PoliceNG was waiting for 48hours. Sad,Okafornnewi,,,
negative,RT @lawrenx_: sad news everywhere.,Kitkat_Melony,,,
negative,@Prome_theus01 You get!!!\nThis is so sad 😭😭,EKuyet,,,
negative,Feeling sad for @rahulkanwal @chitraaum 🥱🥱🥱,KumarAmit0812,,,
negative,i watched the fault in our starts last night and cried myself to sleep wtf it’s so sad,gladersfilms,,,
positive,RT @haivri: Very sad day for Israel and the Jewish people. \n\nConcordances to the families who lost their loved ones and prayers for those i…,LehiRed,,,
negative,This is really sad😭😭😭😭 may her soul rest in peace https://t.co/ZScHMS8TQS,UduakCallistus,,,
negative,@UmohUduak1 Jeez..This is sad,TobiSpeaks,,,
negative,"RT @DemolaRewaju: Sad to hear Ini Umoren was killed, really sad.\n\nPlease be careful on this app and everywhere. Evil people do everything n…",Rolex7Michael,,,
negative,This is so sad,Tejire_,,,
neutral,Христос воскрес https://t.co/QfqDYqmNUh,sad_shmeker,,,
neutral,RT @efaperfume: Sedih la teringat raya tahun lepas paling sendu gila. Sarung baju raya 15 minit pastu makan pastu habis raya. We sacrificed…,shxwtymxne_,,,
negative,"@UmohUduak1 It's sad to know you could loss your life while looking for a job in this Nigeria, we are thriving to b… https://t.co/RFOSdBKORt",bozman4rael,,,
negative,"\stop posting sad adele songs\"" mf tell adele to stop writing songs about stsg\nhttps://t.co/6ZwhUaM1LG""",shawtyhawks,,,
negative,RT @chyngyozil: God!!! This is sad and heartless. They killed her 😢,Iamkaykingz,,,
negative,RT @sheni_coker: Such a sad way to start a day. May her soul Rest In Peace. Really sad sad,xakalicious,,,
negative,@IACAbhi Very sad 😥😥😥 stay safe..😷😷😷,ASHISHKUMARTUR5,,,
negative,i just wanna be appreciated 😔 frick u mom u make me sad,kabukiigirl,,,
neutral,taemin: don't be sad okay?\nalso taemin: *cries*,baemiiin,,,
negative,yk how sad would kin mads mikkelsen if he wasn’t a real person? me with daniel bruhl https://t.co/WTnFe4DM9s,catboyamato,,,
negative,Sad https://t.co/CXjnfByLwS,Odinkim23,,,
negative,This is really sad. \nReally really sad.,Viqforlan,,,
negative,"@BastetSilver @markcf83 @metpoliceuk I got it ok thanks, now off you go back to your desperate and sad followers of twitter land",marktracey87,,,
positive,"RT @haivri: There is a huge tragedy in Israel, during the night tens of worshipers were killed and hundreds injured in a human stampede at…",LehiRed,,,
negative,RT @imnamjoonkim: Being an army doesn't necessarily mean that it is compulsory for you to have all albums and merch. I've been an army for…,egoseokkk,,,
neutral,RT @efaperfume: Sedih la teringat raya tahun lepas paling sendu gila. Sarung baju raya 15 minit pastu makan pastu habis raya. We sacrificed…,_NFarhanaAAzeli,,,
negative,RT @BolWrld: It’ll be a sad day in basketball when Lebron Retires. https://t.co/x2mWwD23vZ,johnnykbeatz,,,
negative,People are still in denial it’s so funny! And incredibly sad. https://t.co/f8sF3sUeEg,BloggoJones,,,
negative,RT @BBCCasualty: We’re sad to see you go Leon! \n \nThe Holby ED doors are always open for you 🤗\n \n#Casualty https://t.co/86im9xf9Ba,MissGBeauchamps,,,
negative,"@UmohUduak1 @Irunnia_ OMG, this is so Sad to hear \nMay her soul rest in peace",Emmaxeboh,,,
positive,"Yeah if Didi didn't raise the issue BJP could have win, bhakts could have not demanded burnol. So sad.… https://t.co/rMMN6fqCRr",KomediGoon,,,
neutral,@gxgacc Cumlaude,Sad_dxvxl,,,
negative,im probably just gonna be ia i don’t wanna be sad on the tl,DJARINSBF,,,
negative,@shoutdr Aww sad,BkgKski,,,
negative,RT @waad00med: Why did my last two brain cells have to be a sad one and a stupid one,UmeKals87398856,,,
negative,@_mide_j I actually did pray for her I’m soo sad,traycie__,,,
negative,There is a BMW that uprooted a tree along Robert Mugabe at Pub Gondola in the early hours of this morning. It was a sad sight 💔,kenniekays,,,
negative,"RT @HilllZoey: When you are sad alone, the mirror doubles loneliness. https://t.co/h8ZaWQtpJY",DarbyLindgren,,,
positive,"RT @ViggyStrdust: This is a dystopian Hunger games-esque event. It is incredibly stressful, anxiety inducing &amp; maddening for those who can…",Shafiq_Razak,,,
negative,"RT @DemolaRewaju: Sad to hear Ini Umoren was killed, really sad.\n\nPlease be careful on this app and everywhere. Evil people do everything n…",keepee101,,,
negative,"@Zen_firee Sad, I pray her family has the strength to bare the loss.",KING_TJB,,,
negative,@shawen17 It's sad.,_Scorpio7,,,
negative,@queen_Marihana Very sad 😔,Sommiiiee,,,
negative,@kofoworola_aa Very sad.,2Ibikunle,,,
positive,"RT @sevendless: Youngjae's clear and stable vocals are already a given but his acting when Haram felt excited, embarrassed, sad, in love, a…",prdefshyuck,,,
negative,"RT @michaelmina_lab: I feel very distraught about what is happening w COVID in India. At moment, I am distraught (and extremely sad) bc thi…",GameDevGary,,,
negative,@UmohUduak1 This is sad\n\nSo sorry for your loss,officializucee,,,
negative,@QuratulAin__007 @ImranKhanPTI It's really heart breaking Siso💔\nVery very sad to know that what\nPain your going thr… https://t.co/YVOzNz3uoD,sadafsheriff35,,,
negative,@Chiebuniem_ I literally just retweeted a post with her hashtag. So sad. May she rest in peace and may her killers never know peace,reeses_peaceee,,,
negative,@VictorIsrael_ This is sad,Eddy_jasper,,,
negative,this is so sad,hyukflwr,,,
negative,@Obongowoibesik1 Sad,CAPT__Vincent,,,
negative,"RT @cassrenforevs: ang dami mo kayang paassurance Sir, wag na ikaw sad boy HAHAHA\n\nSaCassRenMAYForever\n#CassRen\n@Espanto2001 \n@LegaspiCassy",CassRen17,,,
neutral,"@Sad_Earthling Hvor er den smuk. Tak, fordi du åbner mine øjne for vores smukke fugle",IreneJosefsen,,,
negative,"@rebwriteswrongs Yep. Worked for the NotW went out to lunch, got v v pissed. My boss said we know you are unhappy b… https://t.co/WQNIToTD00",HelenMackie27,,,
neutral,@ritam_45_T @MamataOfficial Kamal hai Matlab kuch bhi ??\nI never supported CSK in my life how did you imagine I wou… https://t.co/h4WA4X8ZsT,PushpaMehra2021,,,
negative,Cast Member Bowen Yang Unhappy Over Elon Musk Hosting 'SNL' Won't Have to Perform. \n\nhttps://t.co/xmyjYMpsys\n\nBowen… https://t.co/IjIHz29ovI,rodriQuez,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,hardygozbananas,,,
neutral,@unhappy_pancake 그치만 리코타는 가족인걸...,pembe_S2,,,
negative,RT @MailSport: Man United's largest sponsor Adidas unhappy with club over falling shirt sales https://t.co/3UGhWQcjvL,farathiqah,,,
positive,"RT @J4YLIN__: If you want to be happy, learn to be alone without being lonely. Learn that being alone does not mean being unhappy. The worl…",JayyThaIllest,,,
neutral,"RT @Mayham_H: Selvi Zuranci, the make up artist who worked in Hercai in the beginning of season 3 said:\n\We never saw Akın harm anyone. He…""",Aslanbey_123,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,Amit48657668,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,JaiSingh1729,,,
neutral,山札の中2枚グリームニルってお前… https://t.co/Ebe8dYOXDG,Bye_Unhappy,,,
negative,RT @Excellion: BREAKING: Dinosaurs unhappy about impending asteroid strike.  https://t.co/gHIVtOkaFZ,btcpioneer,,,
negative,RT @Daily_Ref: Wow! Someone is VERY unhappy that the wallpaper story didn't stick. \n\nhttps://t.co/Yu3zNBBIlr,SuperbikeAl,,,
neutral,Corey Norman needs to give it away,unhappy_dragon,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,RealNeeraj,,,
neutral,RT @kesizumionion: 背中の模様もわかるようにしてみました…！よろしくお願いいたします！\n#インコ迷子　#安曇野市 https://t.co/0YS36qhojP,unhappy_squash,,,
negative,RT @sighyush: Shot this at a Meerut crematorium today. A grieving family unhappy with the govt’s handling of covid pandemic were interrupte…,Writeon32021351,,,
negative,@jams3d UNhappy birthday to you.,0401Flaky,,,
negative,"RT @pallavi31: If the ending is unhappy, let it go and move forward \n\n(destroy patterns of thoughts or routine or interactions that are are…",RisingDarkstar,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,delhiitekishore,,,
positive,RT @RichardAndMaya1: It isn’t what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is wh…,Only_Chenes,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,im_aabid,,,
negative,RT @Cantona_Collars: I have no right to tell anyone how to spend their hard earned money but would it be too much of a sacrifice to skip bu…,ancedotalist,,,
negative,RT @_motivatedmind: \The poor, the unsuccessful, the unhappy," the unhealthy are the ones who use the word tomorrow the most\"" Robert Kiyosak…""",singhsbsin
positive,RT @RichardAndMaya1: It isn’t what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is wh…,jochard1618,,,
positive,@futuremonk @FrontalForce are hindus happy in BJP ruled states?? I am from   BJP ruled uttarakhand  and I am fcukin… https://t.co/XHwVXkAQbQ,shashan66436424,,,
positive,It isn’t what you have or who you are or where you are or what you are doing that makes you happy or unhappy. It is… https://t.co/vgSmVU5sD6,RichardAndMaya1,,,
negative,"RT @SudhirSharma006: In puducheri,  BJP , will manipulate and shake hands with the , \nunhappy congressmen and will form government",I_am_deval,,,
negative,"The amount of people that want Ada to be unhappy on this app, the country might have deserved Buhari after all.",phre_mas,,,
negative,@RedVMail @NRL_Dragons They showed absolute nothing today. Shocking performance,unhappy_dragon,,,
neutral,"RT @Mayham_H: Selvi Zuranci, the make up artist who worked in Hercai in the beginning of season 3 said:\n\We never saw Akın harm anyone. He…""",lilly_imma95,,,
negative,RT @Excellion: BREAKING: Dinosaurs unhappy about impending asteroid strike.  https://t.co/gHIVtOkaFZ,iamberbelek,,,
negative,RT @newsmax: SNL cast members unhappy about Elon Musk hosting won't have to perform on May 8th https://t.co/eOTrUr96gl https://t.co/zQ5sLQ9…,fritts_tom,,,
negative,RT @Excellion: BREAKING: Dinosaurs unhappy about impending asteroid strike.  https://t.co/gHIVtOkaFZ,BoundaryVision,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,moin1244,,,
negative,"RT @yelseldusty: Anyone unhappy about @conservative lack of action on illegal migrants, never forget @UKLabour would have open boarders wit…",sw18780774,,,
neutral,even chatting s**t about people not wanting to watch #Grease at #Christmas because it's an all white cast and the c… https://t.co/uorGtHKjTv,MichealOConner1,,,
negative,RT @MailSport: Man United's largest sponsor Adidas unhappy with club over falling shirt sales https://t.co/3UGhWQcjvL,danielvijay14,,,
negative,RT @Cantona_Collars: I have no right to tell anyone how to spend their hard earned money but would it be too much of a sacrifice to skip bu…,msjoh2,,,
negative,"RT @yelseldusty: Anyone unhappy about @conservative lack of action on illegal migrants, never forget @UKLabour would have open boarders wit…",BikerGary17,,,
negative,RT @Cantona_Collars: I have no right to tell anyone how to spend their hard earned money but would it be too much of a sacrifice to skip bu…,LennyDeGriffa,,,
negative,@ABPNews @romanaisarkhan @RubikaLiyaquat @gyanendrat1 Rubik is unhappy,APSINGH35693027,,,
negative,They are unhappy if he does not sexually excited during intercourse a woman’s genital combinations.,Kamasutra_neue,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,rhnmodi,,,
negative,RT @Daily_Ref: Wow! Someone is VERY unhappy that the wallpaper story didn't stick. \n\nhttps://t.co/Yu3zNBBIlr,shiremoorpotter,,,
negative,"@__justmesazzle And plenty of people are  already unhappy, or struggling in ways in which you can’t imagine.  Count… https://t.co/ZhnkER9Ehn",helsmels44,,,
neutral,GG: thats bullshit! thats not an apology!\nGG: you arent inherently anything and you definitely arent inherently unh… https://t.co/itziaRuYGl,normalebooks,,,
negative,Loool one man suggested that women are unhappy because they don’t have a man in their life. War kaale! Does our lif… https://t.co/Wuv0UuzoCD,_nxeema,,,
negative,RT @MINSUGAHQ: 👤+ and people abroad wait in line to receive surgery from him. \n\n* the doctor also joked he was afraid that ARMYs all around…,atyrhhh_,,,
negative,RT @MailSport: Man United's largest sponsor Adidas unhappy with club over falling shirt sales https://t.co/3UGhWQcjvL,YDub20,,,
